symbol_key,symbol,company_name,sector,industry
300,ALV,"Autoliv, Inc.",Consumer Cyclical,Auto Parts
301,HXGBY,Hexagon AB,Technology,Scientific & Technical Instruments
302,PSNY,Polestar Automotive Holding UK ,Consumer Cyclical,Auto Manufacturers
303,ADCT,ADC Therapeutics SA,Healthcare,Biotechnology
304,ALC,Alcon Inc.,Healthcare,Medical Instruments & Supplies
305,AMCR,Amcor plc,Consumer Cyclical,Packaging & Containers
306,APTV,Aptiv PLC,Consumer Cyclical,Auto Parts
307,CB,Chubb Limited,Financial Services,Insurance - Property & Casualty
308,CRSP,CRISPR Therapeutics AG,Healthcare,Biotechnology
309,GES,"Guess?, Inc.",Consumer Cyclical,Apparel Retail
310,GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments
311,GTX,Garrett Motion Inc.,Consumer Cyclical,Auto Parts
312,MLTX,MoonLake Immunotherapeutics,Healthcare,Biotechnology
313,NVCR,NovoCure Limited,Healthcare,Medical Devices
314,ONON,On Holding AG,Consumer Cyclical,Footwear & Accessories
315,RIG,Transocean Ltd (Switzerland),Energy,Oil & Gas Drilling
316,SDZNY,Sandoz Group AG,Healthcare,Drug Manufacturers - Specialty & Generic
317,ASX,"ASE Technology Holding Co., Ltd",Technology,Semiconductors
318,AUOTY,AUO CORPORATION,Technology,Electronic Components
319,CHT,"Chunghwa Telecom Co., Ltd.",Communication Services,Telecom Services
320,HIMX,"Himax Technologies, Inc.",Technology,Semiconductors
321,TSM,Taiwan Semiconductor Manufactur,Technology,Semiconductors
322,UMC,United Microelectronics Corpora,Technology,Semiconductors
323,BGKKF,BANGKOK BANK PUBLIC CO NON VTG ,Financial Services,Banks - Regional
324,HEPS,D-Market Electronic Services & ,Consumer Cyclical,Internet Retail
325,ARM,Arm Holdings plc,Technology,Semiconductors
326,AZN,Astrazeneca PLC,Healthcare,Drug Manufacturers - General
327,BIRK,Birkenstock Holding plc,Consumer Cyclical,Footwear & Accessories
328,CCEP,Coca-Cola Europacific Partners ,Consumer Defensive,Beverages - Non-Alcoholic
329,CLVT,Clarivate Plc,Technology,Information Technology Services
330,CNH,CNH Industrial N.V.,Industrials,Farm & Heavy Construction Machinery
331,CPRI,Capri Holdings Limited,Consumer Cyclical,Luxury Goods
332,DAVA,Endava plc,Technology,Software - Infrastructure
333,IGT,International Game Technology,Consumer Cyclical,Gambling
334,IMCR,Immunocore Holdings plc,Healthcare,Biotechnology
335,JHG,Janus Henderson Group plc,Financial Services,Asset Management
336,KNSA,"Kiniksa Pharmaceuticals, Ltd.",Healthcare,Drug Manufacturers - Specialty & Generic
337,LIN,Linde plc,Basic Materials,Specialty Chemicals
338,LIVN,LivaNova PLC,Healthcare,Medical Devices
339,NOMD,Nomad Foods Limited,Consumer Defensive,Packaged Foods
340,NVT,nVent Electric plc,Industrials,Electrical Equipment & Parts
341,PNR,Pentair plc.,Industrials,Specialty Industrial Machinery
342,PSFE,Paysafe Limited,Technology,Software - Infrastructure
343,RNW,ReNew Energy Global plc,Utilities,Utilities - Renewable
344,ROIV,Roivant Sciences Ltd.,Healthcare,Biotechnology
345,WIZEY,WISE PLC,Technology,Information Technology Services
346,WTW,Willis Towers Watson Public Lim,Financial Services,Insurance Brokers
347,GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information
348,AAL,"American Airlines Group, Inc.",Industrials,Airlines
349,AAMI,Acadian Asset Management Inc.,Financial Services,Asset Management
350,AAOI,"Applied Optoelectronics, Inc.",Technology,Communication Equipment
351,AAON,"AAON, Inc.",Industrials,Building Products & Equipment
352,AAP,Advance Auto Parts Inc.,Consumer Cyclical,Auto Parts
353,AAPL,Apple Inc.,Technology,Consumer Electronics
354,AAT,"American Assets Trust, Inc.",Real Estate,REIT - Diversified
355,ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General
356,ABCB,Ameris Bancorp,Financial Services,Banks - Regional
357,ABG,Asbury Automotive Group Inc,Consumer Cyclical,Auto & Truck Dealerships
358,ABL,"Abacus Global Management, Inc.",Financial Services,Insurance - Life
359,ABM,ABM Industries Incorporated,Industrials,Specialty Business Services
